case_id,image_name,error_type,gt_class,gt_size_bucket,pred_class,confidence,box_area_ratio,near_edge,duplicate_of_tp,case_image_path
RT_AL_02_14483871_001,RT_AL_02_14483871.jpg,false_negative,porosity,Large,,,,True,False,errors/EXP-P1-DET-006/false_negative/RT_AL_02_14483871_001.jpg
RT_AL_02_14487790_001,RT_AL_02_14487790.jpg,false_positive,,,slag_inclusion,0.318078,0.01418058,True,False,errors/EXP-P1-DET-006/false_positive/RT_AL_02_14487790_001.jpg
RT_AL_02_14487790_002,RT_AL_02_14487790.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-006/false_negative/RT_AL_02_14487790_002.jpg
RT_AL_02_14487790_003,RT_AL_02_14487790.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-006/false_negative/RT_AL_02_14487790_003.jpg
RT_AL_02_14487812_001,RT_AL_02_14487812.jpg,false_negative,porosity,Medium,,,,False,False,errors/EXP-P1-DET-006/false_negative/RT_AL_02_14487812_001.jpg
RT_AL_02_14487829_001,RT_AL_02_14487829.jpg,localization_error,porosity,Medium,porosity,0.297851,0.01135231,False,False,errors/EXP-P1-DET-006/localization_error/RT_AL_02_14487829_001.jpg
RT_AL_02_14487829_002,RT_AL_02_14487829.jpg,false_positive,,,porosity,0.543975,0.00116235,False,False,errors/EXP-P1-DET-006/false_positive/RT_AL_02_14487829_002.jpg
RT_AL_02_14487829_003,RT_AL_02_14487829.jpg,false_negative,porosity,Medium,,,,False,False,errors/EXP-P1-DET-006/false_negative/RT_AL_02_14487829_003.jpg
RT_AL_02_14487829_004,RT_AL_02_14487829.jpg,false_negative,porosity,Medium,,,,False,False,errors/EXP-P1-DET-006/false_negative/RT_AL_02_14487829_004.jpg
RT_AL_02_14487914_001,RT_AL_02_14487914.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-006/false_negative/RT_AL_02_14487914_001.jpg
RT_AL_02_14487914_002,RT_AL_02_14487914.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-006/false_negative/RT_AL_02_14487914_002.jpg
