case_id,image_name,error_type,gt_class,gt_size_bucket,pred_class,confidence,box_area_ratio,near_edge,duplicate_of_tp,case_image_path
RT_AL_02_14488032_001,RT_AL_02_14488032.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-003/false_negative/RT_AL_02_14488032_001.jpg
RT_AL_02_14488032_002,RT_AL_02_14488032.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-003/false_negative/RT_AL_02_14488032_002.jpg
RT_AL_02_14488032_003,RT_AL_02_14488032.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-003/false_negative/RT_AL_02_14488032_003.jpg
RT_AL_02_14488091_001,RT_AL_02_14488091.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-003/false_negative/RT_AL_02_14488091_001.jpg
RT_AL_02_14488184_001,RT_AL_02_14488184.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-003/false_negative/RT_AL_02_14488184_001.jpg
RT_AL_02_14488184_002,RT_AL_02_14488184.jpg,false_negative,porosity,Medium,,,,False,False,errors/EXP-P1-DET-003/false_negative/RT_AL_02_14488184_002.jpg
RT_AL_02_14488379_001,RT_AL_02_14488379.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-003/false_negative/RT_AL_02_14488379_001.jpg
RT_AL_02_14488379_002,RT_AL_02_14488379.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-003/false_negative/RT_AL_02_14488379_002.jpg
RT_AL_02_14488379_003,RT_AL_02_14488379.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-003/false_negative/RT_AL_02_14488379_003.jpg
RT_AL_02_14488461_001,RT_AL_02_14488461.jpg,false_negative,porosity,Medium,,,,False,False,errors/EXP-P1-DET-003/false_negative/RT_AL_02_14488461_001.jpg
RT_AL_02_14488480_001,RT_AL_02_14488480.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-003/false_negative/RT_AL_02_14488480_001.jpg
