case_id,image_name,error_type,gt_class,gt_size_bucket,pred_class,confidence,box_area_ratio,near_edge,duplicate_of_tp,case_image_path
RT_AL_02_14483871_001,RT_AL_02_14483871.jpg,false_negative,porosity,Large,,,,True,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14483871_001.jpg
RT_AL_02_14487790_001,RT_AL_02_14487790.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14487790_001.jpg
RT_AL_02_14487790_002,RT_AL_02_14487790.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14487790_002.jpg
RT_AL_02_14487812_001,RT_AL_02_14487812.jpg,false_negative,porosity,Medium,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14487812_001.jpg
RT_AL_02_14487829_001,RT_AL_02_14487829.jpg,localization_error,porosity,Medium,porosity,0.407235,0.01113288,False,False,errors/EXP-P1-DET-005/localization_error/RT_AL_02_14487829_001.jpg
RT_AL_02_14487829_002,RT_AL_02_14487829.jpg,localization_error,porosity,Medium,porosity,0.341741,0.00843788,False,False,errors/EXP-P1-DET-005/localization_error/RT_AL_02_14487829_002.jpg
RT_AL_02_14487829_003,RT_AL_02_14487829.jpg,false_positive,,,porosity,0.296590,0.00134216,False,False,errors/EXP-P1-DET-005/false_positive/RT_AL_02_14487829_003.jpg
RT_AL_02_14487829_004,RT_AL_02_14487829.jpg,false_negative,porosity,Medium,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14487829_004.jpg
RT_AL_02_14487914_001,RT_AL_02_14487914.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14487914_001.jpg
RT_AL_02_14487914_002,RT_AL_02_14487914.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14487914_002.jpg
RT_AL_02_14488023_001,RT_AL_02_14488023.jpg,localization_error,porosity,Small,porosity,0.328987,0.00145063,False,False,errors/EXP-P1-DET-005/localization_error/RT_AL_02_14488023_001.jpg
RT_AL_02_14488023_002,RT_AL_02_14488023.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14488023_002.jpg
RT_AL_02_14488048_001,RT_AL_02_14488048.jpg,localization_error,porosity,Small,porosity,0.345550,0.00170020,True,False,errors/EXP-P1-DET-005/localization_error/RT_AL_02_14488048_001.jpg
RT_AL_02_14488048_002,RT_AL_02_14488048.jpg,localization_error,porosity,Small,porosity,0.321743,0.00205733,False,False,errors/EXP-P1-DET-005/localization_error/RT_AL_02_14488048_002.jpg
RT_AL_02_14488048_003,RT_AL_02_14488048.jpg,false_positive,,,porosity,0.253865,0.00228172,False,False,errors/EXP-P1-DET-005/false_positive/RT_AL_02_14488048_003.jpg
RT_AL_02_14488048_004,RT_AL_02_14488048.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14488048_004.jpg
RT_AL_02_14488048_005,RT_AL_02_14488048.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14488048_005.jpg
RT_AL_02_14488048_006,RT_AL_02_14488048.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14488048_006.jpg
RT_AL_02_14488068_001,RT_AL_02_14488068.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14488068_001.jpg
RT_AL_02_14488068_002,RT_AL_02_14488068.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14488068_002.jpg
RT_AL_02_14488068_003,RT_AL_02_14488068.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14488068_003.jpg
