case_id,image_name,error_type,gt_class,gt_size_bucket,pred_class,confidence,box_area_ratio,near_edge,duplicate_of_tp,case_image_path
RT_AL_02_14483871_001,RT_AL_02_14483871.jpg,false_negative,porosity,Large,,,,True,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14483871_001.jpg
RT_AL_02_14487790_001,RT_AL_02_14487790.jpg,false_positive,,,porosity,0.284672,0.00552558,True,False,errors/EXP-P1-DET-007/false_positive/RT_AL_02_14487790_001.jpg
RT_AL_02_14487790_002,RT_AL_02_14487790.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14487790_002.jpg
RT_AL_02_14487790_003,RT_AL_02_14487790.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14487790_003.jpg
RT_AL_02_14487790_004,RT_AL_02_14487790.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14487790_004.jpg
RT_AL_02_14487812_001,RT_AL_02_14487812.jpg,false_negative,porosity,Medium,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14487812_001.jpg
RT_AL_02_14487829_001,RT_AL_02_14487829.jpg,false_positive,,,porosity,0.440586,0.00134553,False,False,errors/EXP-P1-DET-007/false_positive/RT_AL_02_14487829_001.jpg
RT_AL_02_14487829_002,RT_AL_02_14487829.jpg,false_negative,porosity,Medium,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14487829_002.jpg
RT_AL_02_14487829_003,RT_AL_02_14487829.jpg,false_negative,porosity,Medium,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14487829_003.jpg
RT_AL_02_14487829_004,RT_AL_02_14487829.jpg,false_negative,porosity,Medium,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14487829_004.jpg
RT_AL_02_14487914_001,RT_AL_02_14487914.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14487914_001.jpg
RT_AL_02_14487914_002,RT_AL_02_14487914.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14487914_002.jpg
RT_AL_02_14488023_001,RT_AL_02_14488023.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14488023_001.jpg
RT_AL_02_14488023_002,RT_AL_02_14488023.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14488023_002.jpg
RT_AL_02_14488048_001,RT_AL_02_14488048.jpg,localization_error,porosity,Small,porosity,0.553077,0.00199602,True,False,errors/EXP-P1-DET-007/localization_error/RT_AL_02_14488048_001.jpg
RT_AL_02_14488048_002,RT_AL_02_14488048.jpg,localization_error,porosity,Small,porosity,0.531365,0.00127178,False,False,errors/EXP-P1-DET-007/localization_error/RT_AL_02_14488048_002.jpg
RT_AL_02_14488048_003,RT_AL_02_14488048.jpg,false_positive,,,porosity,0.278914,0.00065540,False,False,errors/EXP-P1-DET-007/false_positive/RT_AL_02_14488048_003.jpg
RT_AL_02_14488048_004,RT_AL_02_14488048.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14488048_004.jpg
RT_AL_02_14488048_005,RT_AL_02_14488048.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14488048_005.jpg
RT_AL_02_14488048_006,RT_AL_02_14488048.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14488048_006.jpg
RT_AL_02_14488048_007,RT_AL_02_14488048.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14488048_007.jpg
RT_AL_02_14488068_001,RT_AL_02_14488068.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14488068_001.jpg
RT_AL_02_14488068_002,RT_AL_02_14488068.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14488068_002.jpg
RT_AL_02_14488068_003,RT_AL_02_14488068.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14488068_003.jpg
RT_AL_02_14488068_004,RT_AL_02_14488068.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14488068_004.jpg
RT_AL_02_14488212_001,RT_AL_02_14488212.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14488212_001.jpg
RT_AL_02_14488328_001,RT_AL_02_14488328.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14488328_001.jpg
RT_AL_02_14488328_002,RT_AL_02_14488328.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14488328_002.jpg
RT_AL_02_14488422_001,RT_AL_02_14488422.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14488422_001.jpg
RT_AL_02_14488422_002,RT_AL_02_14488422.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14488422_002.jpg
RT_AL_02_14488422_003,RT_AL_02_14488422.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14488422_003.jpg
RT_AL_02_14488432_001,RT_AL_02_14488432.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14488432_001.jpg
RT_AL_02_14488432_002,RT_AL_02_14488432.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14488432_002.jpg
RT_AL_02_14488506_001,RT_AL_02_14488506.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14488506_001.jpg
RT_AL_02_14488506_002,RT_AL_02_14488506.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14488506_002.jpg
RT_AL_02_14488506_003,RT_AL_02_14488506.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14488506_003.jpg
RT_AL_02_14488600_001,RT_AL_02_14488600.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14488600_001.jpg
RT_AL_02_14488625_001,RT_AL_02_14488625.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14488625_001.jpg
RT_AL_02_14488625_002,RT_AL_02_14488625.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14488625_002.jpg
RT_AL_02_14488661_001,RT_AL_02_14488661.jpg,localization_error,porosity,Medium,porosity,0.297264,0.00235187,False,False,errors/EXP-P1-DET-007/localization_error/RT_AL_02_14488661_001.jpg
RT_AL_02_14488661_002,RT_AL_02_14488661.jpg,false_negative,porosity,Medium,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14488661_002.jpg
RT_AL_02_14488733_001,RT_AL_02_14488733.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14488733_001.jpg
RT_AL_02_14488733_002,RT_AL_02_14488733.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14488733_002.jpg
RT_AL_02_14488967_001,RT_AL_02_14488967.jpg,false_negative,porosity,Medium,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14488967_001.jpg
RT_AL_02_14489182_001,RT_AL_02_14489182.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14489182_001.jpg
RT_AL_02_14489201_001,RT_AL_02_14489201.jpg,false_positive,,,porosity,0.411078,0.00046835,False,True,errors/EXP-P1-DET-007/false_positive/RT_AL_02_14489201_001.jpg
RT_AL_02_14489201_002,RT_AL_02_14489201.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14489201_002.jpg
RT_AL_02_14489201_003,RT_AL_02_14489201.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14489201_003.jpg
RT_AL_02_14489201_004,RT_AL_02_14489201.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14489201_004.jpg
RT_AL_02_14489201_005,RT_AL_02_14489201.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14489201_005.jpg
RT_AL_02_14489201_006,RT_AL_02_14489201.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14489201_006.jpg
RT_AL_02_14489201_007,RT_AL_02_14489201.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14489201_007.jpg
RT_AL_02_14489420_001,RT_AL_02_14489420.jpg,localization_error,porosity,Medium,porosity,0.654460,0.00548083,False,False,errors/EXP-P1-DET-007/localization_error/RT_AL_02_14489420_001.jpg
RT_AL_02_14489420_002,RT_AL_02_14489420.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14489420_002.jpg
RT_AL_02_14489481_001,RT_AL_02_14489481.jpg,false_positive,,,porosity,0.388660,0.00073441,False,False,errors/EXP-P1-DET-007/false_positive/RT_AL_02_14489481_001.jpg
RT_AL_02_14489481_002,RT_AL_02_14489481.jpg,false_positive,,,porosity,0.307826,0.00085734,False,False,errors/EXP-P1-DET-007/false_positive/RT_AL_02_14489481_002.jpg
RT_AL_02_14489481_003,RT_AL_02_14489481.jpg,false_positive,,,porosity,0.277832,0.00077187,False,False,errors/EXP-P1-DET-007/false_positive/RT_AL_02_14489481_003.jpg
RT_AL_02_14489481_004,RT_AL_02_14489481.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14489481_004.jpg
RT_AL_02_14489518_001,RT_AL_02_14489518.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14489518_001.jpg
RT_AL_02_14489687_001,RT_AL_02_14489687.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14489687_001.jpg
RT_AL_02_14489691_001,RT_AL_02_14489691.jpg,false_negative,porosity,Medium,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14489691_001.jpg
RT_AL_02_14489744_001,RT_AL_02_14489744.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14489744_001.jpg
RT_AL_02_14489744_002,RT_AL_02_14489744.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14489744_002.jpg
RT_AL_02_14489744_003,RT_AL_02_14489744.jpg,false_negative,porosity,Medium,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14489744_003.jpg
RT_AL_02_14489744_004,RT_AL_02_14489744.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14489744_004.jpg
RT_AL_02_14490164_001,RT_AL_02_14490164.jpg,false_negative,porosity,Medium,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14490164_001.jpg
RT_AL_02_14490269_001,RT_AL_02_14490269.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14490269_001.jpg
RT_AL_02_14490269_002,RT_AL_02_14490269.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_02_14490269_002.jpg
RT_AL_05_14488639_001,RT_AL_05_14488639.jpg,wrong_class,slag_inclusion,Small,porosity,0.602905,0.00057793,False,False,errors/EXP-P1-DET-007/wrong_class/RT_AL_05_14488639_001.jpg
RT_AL_05_14488639_002,RT_AL_05_14488639.jpg,false_positive,,,porosity,0.542563,0.00057601,False,False,errors/EXP-P1-DET-007/false_positive/RT_AL_05_14488639_002.jpg
RT_AL_05_14491963_001,RT_AL_05_14491963.jpg,false_positive,,,porosity,0.373571,0.01366783,False,False,errors/EXP-P1-DET-007/false_positive/RT_AL_05_14491963_001.jpg
RT_AL_05_14491963_002,RT_AL_05_14491963.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_05_14491963_002.jpg
RT_AL_05_14491968_001,RT_AL_05_14491968.jpg,localization_error,slag_inclusion,Large,slag_inclusion,0.275770,0.02901699,True,False,errors/EXP-P1-DET-007/localization_error/RT_AL_05_14491968_001.jpg
RT_AL_05_14491968_002,RT_AL_05_14491968.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_05_14491968_002.jpg
RT_AL_05_14492092_001,RT_AL_05_14492092.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_05_14492092_001.jpg
RT_AL_05_14492118_001,RT_AL_05_14492118.jpg,wrong_class,slag_inclusion,Small,porosity,0.368066,0.00501126,False,False,errors/EXP-P1-DET-007/wrong_class/RT_AL_05_14492118_001.jpg
RT_AL_05_14492118_002,RT_AL_05_14492118.jpg,false_positive,,,porosity,0.266605,0.00218525,False,False,errors/EXP-P1-DET-007/false_positive/RT_AL_05_14492118_002.jpg
RT_AL_05_14492118_003,RT_AL_05_14492118.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_05_14492118_003.jpg
RT_AL_05_14492118_004,RT_AL_05_14492118.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_05_14492118_004.jpg
RT_AL_05_14492118_005,RT_AL_05_14492118.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_05_14492118_005.jpg
RT_AL_05_14492165_001,RT_AL_05_14492165.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_05_14492165_001.jpg
RT_AL_05_14492254_001,RT_AL_05_14492254.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_05_14492254_001.jpg
RT_AL_05_14492256_001,RT_AL_05_14492256.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_05_14492256_001.jpg
RT_AL_05_14492256_002,RT_AL_05_14492256.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_05_14492256_002.jpg
RT_AL_05_14492256_003,RT_AL_05_14492256.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_05_14492256_003.jpg
RT_AL_05_14492383_001,RT_AL_05_14492383.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_05_14492383_001.jpg
RT_AL_05_14492395_001,RT_AL_05_14492395.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_05_14492395_001.jpg
RT_AL_05_14492395_002,RT_AL_05_14492395.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_05_14492395_002.jpg
RT_AL_05_14492419_001,RT_AL_05_14492419.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_05_14492419_001.jpg
RT_AL_05_14492419_002,RT_AL_05_14492419.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_05_14492419_002.jpg
RT_AL_05_14492419_003,RT_AL_05_14492419.jpg,false_negative,slag_inclusion,Small,,,,True,False,errors/EXP-P1-DET-007/false_negative/RT_AL_05_14492419_003.jpg
RT_AL_05_14492681_001,RT_AL_05_14492681.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_05_14492681_001.jpg
RT_AL_05_14492741_001,RT_AL_05_14492741.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_05_14492741_001.jpg
RT_AL_05_14492741_002,RT_AL_05_14492741.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_05_14492741_002.jpg
RT_AL_05_14492741_003,RT_AL_05_14492741.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_05_14492741_003.jpg
RT_AL_05_14492773_001,RT_AL_05_14492773.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_05_14492773_001.jpg
RT_AL_05_14492773_002,RT_AL_05_14492773.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_05_14492773_002.jpg
RT_AL_05_14492845_001,RT_AL_05_14492845.jpg,false_negative,slag_inclusion,Small,,,,True,False,errors/EXP-P1-DET-007/false_negative/RT_AL_05_14492845_001.jpg
RT_AL_05_14492845_002,RT_AL_05_14492845.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_05_14492845_002.jpg
RT_AL_05_14492845_003,RT_AL_05_14492845.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_05_14492845_003.jpg
RT_AL_05_14492954_001,RT_AL_05_14492954.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_05_14492954_001.jpg
RT_AL_05_14493074_001,RT_AL_05_14493074.jpg,false_positive,,,porosity,0.528571,0.00376171,False,False,errors/EXP-P1-DET-007/false_positive/RT_AL_05_14493074_001.jpg
RT_AL_05_14493074_002,RT_AL_05_14493074.jpg,false_positive,,,porosity,0.256790,0.00706081,False,False,errors/EXP-P1-DET-007/false_positive/RT_AL_05_14493074_002.jpg
RT_AL_05_14493074_003,RT_AL_05_14493074.jpg,false_negative,slag_inclusion,Large,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_05_14493074_003.jpg
RT_AL_05_14493390_001,RT_AL_05_14493390.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-007/false_negative/RT_AL_05_14493390_001.jpg
